method,n_gt,n_pred,fid,e2e,t
include_bookmark_auto_delete_preference?,3,4,0.333,0.5,0.28
bookmark_id,4,4,0.5,0.8,0.27
static_doc,3,4,0.667,1.0,0.27
action_code_path,5,4,0.5,0.8,0.27
include_notice?,51,6,0.333,0.4,0.31
include_has_post_localizations?,6,13,0.5,0.667,0.4
include_post_localizations_count?,6,8,0.5,0.6,0.33
include_is_localized?,4,5,0.5,0.857,0.28
include_stream?,3,6,0.333,0.667,0.29
queue,3,4,0.667,1.0,0.27
user_id,4,4,0.5,0.8,0.27
state,6,9,0.333,0.6,0.33
include_description?,4,5,0.5,0.857,0.29
label,10,9,0.444,0.588,0.33
include_created_post_id?,5,5,0.4,0.75,0.29
reviewable_count,5,4,0.5,0.8,0.27
post_updated_at,5,8,0.4,0.75,0.33
watched_word_reason,44,300,0.477,0.25,3.59
watched_words_found,81,20,0.25,0.359,0.54
url_for,33,300,0.182,0.092,3.61
payload_attributes,16,9,0.333,0.375,0.4
attributes,48,300,0.438,0.484,3.57
topic_url,5,8,0.4,0.75,0.39
include_topic_id?,5,5,0.4,0.75,0.28
target_created_by_trust_level,5,6,0.4,0.333,0.29
include_claimed_by?,5,5,0.4,0.75,0.29
link_admin,8,9,0.5,0.857,0.34
links,15,10,0.5,0.667,0.35
can_be_silenced,5,5,0.4,0.75,0.29
include_required_tag_groups?,4,5,0.5,0.857,0.29
user_color_schemes,24,300,0.542,0.391,3.59
groups,48,300,0.333,0.274,3.65
include_user_tips?,4,5,0.5,0.857,0.36
filters,7,6,0.5,0.25,0.29
periods,7,8,0.429,0.667,0.32
anonymous_top_menu_items,7,8,0.429,0.667,0.32
tags_filter_regexp,5,7,0.6,0.75,0.31
wizard_required,3,4,0.667,1.0,0.27
topic_featured_link_allowed_category_ids,4,4,0.5,0.8,0.27
include_shared_drafts_category_id?,7,9,0.286,0.5,0.34
denied_emojis,6,4,0.5,0.8,0.28
include_lazy_load_categories?,4,5,0.5,0.857,0.29
valid_flag_applies_to_types,4,4,0.75,0.8,0.28
used_flag_ids,8,8,0.375,0.286,0.33
id,5,4,0.5,0.8,0.29
new_default,7,6,0.5,0.444,0.3
overridden?,15,300,0.267,0.276,3.56
include_related_messages?,5,7,0.4,0.333,0.37
include_suggested_topics?,5,7,0.4,1.0,0.31
related_messages,19,10,0.2,0.556,0.35
initialize,28,300,0.214,0.286,3.57
include_child_themes?,5,5,0.4,1.0,0.36
setting,4,4,0.5,0.8,0.27
type,4,4,0.5,0.8,0.28
topic_slug,5,4,0.5,0.8,0.27
include_user_id?,5,5,0.4,0.75,0.29
op_like_count,8,8,0.25,0.571,0.32
first_post_id,12,7,0.429,0.2,0.31
category_id,15,5,0.4,0.5,0.31
include_allowed_user_count?,4,5,0.5,1.0,0.3
include_shared_drafts?,5,5,0.4,0.75,0.3
include_categories?,4,5,0.5,1.0,0.28
primary_group_name,15,8,0.375,0.462,0.32
include_moderator?,6,300,0.333,0.727,3.59
trust_level,6,6,0.333,0.25,0.36
include_tags?,5,5,0.4,0.75,0.28
object=,5,4,0.5,0.4,0.27
can_attributes,25,300,0.08,0.082,3.64
include_participants?,5,5,0.4,1.0,0.36
created_by,5,4,0.5,0.8,0.27
include_can_delete?,6,6,0.333,0.25,0.3
allowed_users,19,11,0.182,0.7,0.36
allowed_groups,5,4,0.5,0.8,0.27
include_gaps?,3,5,0.667,1.0,0.28
include_timeline_lookup?,3,5,0.333,1.0,0.28
message_bus_last_id,4,4,0.5,0.8,0.28
include_is_warning?,3,5,0.667,1.0,0.29
include_external_id?,3,5,0.667,1.0,0.29
has_deleted,4,4,0.5,0.8,0.27
include_has_deleted?,5,8,0.4,0.571,0.36
expandable_first_post,3,6,0.333,0.667,0.31
topic_timer,37,6,0.333,0.4,0.31
include_featured_link?,4,5,0.5,0.857,0.28
is_shared_draft,3,5,0.667,1.0,0.29
include_queued_posts_count?,7,8,0.571,0.615,0.32
posts,4,4,0.5,0.8,0.27
include_acting_name?,3,5,0.333,1.0,0.28
include_slug?,5,5,0.4,1.0,0.29
archived,4,5,0.5,1.0,0.28
excerpt,4,4,0.75,0.8,0.27
user,3,4,0.667,1.0,0.28
bookmarkable,4,4,0.5,0.8,0.28
include_more_bookmarks_url?,6,6,0.5,0.0,0.31
include_categories?,4,5,0.5,0.857,0.29
include_email?,20,12,0.167,0.364,0.38
include_suspended_till?,4,5,0.5,0.857,0.28
time_read,5,4,0.5,0.8,0.27
flair_url,5,5,0.4,0.75,0.29
filename,5,8,0.4,0.75,0.32
options,6,8,0.333,0.6,0.32
new_value,16,7,0.429,1.0,0.31
topic_tracking,5,7,0.6,0.75,0.31
group_inboxes,61,300,0.23,0.25,3.62
topic_id,4,4,0.5,0.8,0.34
archetype,4,4,0.5,0.8,0.27
include_associated_accounts?,3,4,0.333,0.5,0.27
can_change_tracking_preferences,5,9,0.4,0.75,0.33
bio_cooked,5,8,0.4,0.571,0.31
allowed_pm_usernames,13,10,0.4,0.556,0.35
post_number,5,4,0.5,0.8,0.27
include_topic_count?,3,4,0.333,0.5,0.27
last_read_post_number,4,4,0.5,0.8,0.27
topic,4,4,0.5,0.8,0.27
custom_fields,40,300,0.15,0.304,3.61
actions,18,6,0.667,0.4,0.39
flag_type,4,4,0.5,0.8,0.27
include_category_slug?,8,5,0.2,0.75,0.29
category_slug,14,8,0.375,0.462,0.32
include_email?,4,5,0.5,1.0,0.28
label,20,11,0.364,0.3,0.36
each,3,4,0.333,0.5,0.26
lock,4,4,0.25,0.8,0.27
lock_app,23,300,0.304,0.091,3.59
unlocked?,3,3,0.667,1.0,0.33
initialize,5,5,0.6,0.5,0.28
multipart_fixture,40,20,0.35,0.316,0.46
setup,7,7,0.286,0.545,0.4
filesystem_has_posix_semantics?,4,4,0.5,0.8,0.27
setup,9,8,0.625,0.571,0.32
sendfile_app,15,300,0.267,0.286,3.61
each,5,4,0.75,0.8,0.38
call,11,300,0.273,0.3,3.56
initialize,25,300,0.44,0.314,3.62
subscribe_to_channel,12,12,0.25,0.455,0.45
delegate_connection_identifiers,15,10,0.3,0.4,0.34
transmit_subscription_confirmation,45,20,0.7,0.474,0.46
reject_subscription,8,8,0.375,0.429,0.35
broadcasting_for,7,6,0.167,0.0,0.3
before_unsubscribe,11,8,0.25,0.429,0.32
channel_name,5,4,0.5,0.8,0.27
active_periodic_timers,5,3,0.667,1.0,0.26
worker_pool_stream_handler,29,300,0.276,0.281,3.58
identity_handler,7,4,0.25,0.8,0.35
stop_all_streams,4,5,0.25,0.333,0.28
streams,5,3,0.667,1.0,0.26
initialize,39,300,0.513,0.368,3.57
connection_identifier,15,300,0.4,0.414,3.78
unsubscribe,6,8,0.167,0.222,0.39
assert_has_stream,13,8,0.375,0.154,0.33
check_subscribed!,10,7,0.429,0.667,0.31
process,13,300,0.385,0.4,3.55
send_async,10,6,0.333,0.0,0.37
on_error,9,8,0.25,0.462,0.32
handle_open,40,20,0.65,0.316,0.46
new_tagged_logger,26,300,0.462,0.24,3.59
started_request_message,19,6,0.333,0.444,0.38
start_driver,26,300,0.269,0.122,3.57
rack_response,8,7,0.143,0.364,0.38
write,12,8,0.125,0.0,0.33
close,45,300,0.4,0.227,3.59
begin_close,21,13,0.385,0.25,0.48
each,6,4,0.75,0.4,0.27
close,6,8,0.167,0.222,0.32
initialize,17,12,0.583,0.455,0.37
timer,16,300,0.438,0.323,3.59
writes_pending,18,300,0.333,0.229,3.62
remove,15,12,0.25,0.182,0.44
deprecator,8,300,0.125,0.533,3.57
initialize,5,3,0.667,0.5,0.34
valid_identifiers?,15,6,0.167,0.0,0.3
connection_identifiers,6,10,0.5,0.6,0.34
broadcast,15,300,0.467,0.357,3.58
initialize,14,5,0.8,0.25,0.36
stopping?,4,5,0.5,0.857,0.29
with_database_connections,11,10,0.4,0.333,0.35
subscribe,8,300,0.5,0.286,3.55
shutdown,4,4,0.75,0.8,0.35
subscribe,11,8,0.375,0.0,0.32
unsubscribe,8,6,0.167,0.222,0.3
subscriber_map,12,9,0.222,0.5,0.34
channel_identifier,14,6,0.333,0.2,0.31
listener,16,300,0.5,0.452,3.61
subscribe,11,10,0.3,0.333,0.43
initialize,5,3,0.667,0.5,0.27
subscribe,7,6,0.167,0.0,0.3
unsubscribe,7,4,0.25,0.4,0.28
broadcast,10,8,0.5,0.286,0.33
channels_data,5,3,0.667,1.0,0.27
new_broadcasts_from,33,300,0.303,0.188,3.58
kick,5,4,0.25,0.8,0.35
leave,5,4,0.25,0.8,0.27
get_latest,7,6,0.333,0.25,0.3
send_confirmation,3,4,0.667,1.0,0.28
test_set_channel_class_manual,7,300,0.429,0.667,3.6
test_set_channel_class_manual_using_string,7,9,0.429,0.333,0.41
subscribed,11,300,0.364,0.4,3.57
test_not_stream_with_params,18,10,0.3,0.353,0.43
echo,9,8,0.25,0.286,0.32
setup,13,8,0.25,0.571,0.32
broadcast_to_user,16,300,0.25,0.333,3.6
close,17,10,0.3,0.154,0.42
test_server_restart,49,300,0.469,0.429,3.6
connect,3,6,0.667,0.667,0.38
send_async,8,4,0.5,0.4,0.27
call,5,5,0.2,0.25,0.28
open_connection,25,300,0.48,0.375,3.59
set_current_context,14,8,0.25,0.429,0.4
on_error,6,6,0.167,0.0,0.29
send_async,8,4,0.5,0.4,0.27
initialize,7,3,0.667,0.5,0.26
test_connected,7,6,0.333,0.444,0.3
test_disconnect,17,300,0.235,0.303,3.59
test_connected_with_signed_cookies_and_headers,24,300,0.333,0.222,3.66
user,3,3,0.333,1.0,0.34
close,2,4,0.5,1.0,0.27
initialize,5,3,0.667,0.5,0.26
test_identical_subscriptions,26,300,0.346,0.196,3.6
test_simultaneous_subscriptions,29,300,0.517,0.414,3.67
teardown,8,8,0.25,0.571,0.39
cable_config,6,5,0.4,1.0,0.28
test_default_subscription_connection_identifier,21,300,0.238,0.372,3.6
cable_config,18,21,0.444,0.353,0.57
cable_config,8,7,0.286,0.545,0.3
connection_id,3,4,0.667,1.0,0.27
setup,39,20,0.5,0.632,0.47
cable_config,6,4,0.5,0.8,0.3
test_assert_broadcasts_with_no_block,32,300,0.125,0.258,3.6
authenticate_by_password,19,11,0.545,0.7,0.43
key,12,300,0.417,0.455,3.6
signed?,7,10,0.571,0.5,0.43
recent?,9,300,0.444,0.5,3.58
events,7,10,0.429,0.545,0.42
given_signature,6,6,0.333,0.444,0.3
expected_signature,13,300,0.385,0.5,3.58
require_valid_rfc822_message,9,11,0.222,0.4,0.47
index,10,300,0.2,0.526,3.57
ensure_development_env,8,6,0.5,0.667,0.38
source,6,9,0.333,0.727,0.34
incinerate_later,6,6,0.5,0.25,0.3
run,8,9,0.5,0.714,0.34
due?,9,300,0.444,0.625,3.55
processed?,4,4,0.75,0.8,0.34
generate_missing_message_id,27,300,0.481,0.346,3.56
after_processing,11,9,0.333,0.471,0.41
x_original_to_addresses,15,300,0.4,0.5,3.61
from_source,11,300,0.364,0.476,3.68
client,38,300,0.421,0.459,3.65
add_route,13,10,0.4,0.444,0.43
match?,40,300,0.475,0.228,3.56
receive_inbound_email_from_source,9,8,0.125,0.429,0.4
version,4,4,0.5,0.8,0.28
process,2,4,0.5,1.0,0.27
process,5,8,0.2,0.75,0.32
process,4,7,0.75,0.333,1.47
unregister_observer,7,7,0.286,0.182,0.34
unregister_interceptor,7,8,0.143,0.333,0.33
observer_class_for,13,5,0.4,0.5,0.29
header,3,4,0.667,1.0,0.27
[]=,5,7,0.4,0.5,0.31
_raise_error,7,4,0.75,0.8,0.28
apply_defaults,28,14,0.286,0.37,0.39
collect_responses_from_text,17,300,0.471,0.438,3.58
_protected_ivars,3,4,0.333,1.0,0.34
around_deliver,11,10,0.2,0.0,0.34
add_delivery_method,34,300,0.441,0.328,3.58
wrap_delivery_behavior,57,20,0.3,0.211,0.55
initialize,5,3,0.667,0.5,0.29
format_paragraph,59,300,0.508,0.41,3.62
initialize,19,9,0.556,0.0,0.41
enqueue_delivery,34,300,0.676,0.273,3.59
with,9,300,0.111,0.353,3.65
method_missing,19,11,0.364,0.286,0.43
processed_mailer,19,300,0.684,0.457,3.58
interceptor_class_for,13,13,0.308,0.24,0.45
initialize,6,3,0.667,0.5,0.26
preview_name,6,10,0.5,0.6,0.34
handle_exception,8,6,0.167,0.222,0.3
read_fixture,17,300,0.176,0.0,3.59
restore_delivery_method,11,14,0.273,0.4,0.46
authorized?,7,5,0.6,0.75,0.29
default,14,8,0.25,0.308,0.33
compute_amount,5,4,0.25,0.4,0.27
manual?,4,5,0.5,0.857,0.28
manual_sort_order?,5,4,0.25,0.4,0.27
slug,3,4,0.667,1.0,0.27
set_permalink,5,4,0.5,0.8,0.27
set_pretty_name,5,4,0.5,0.8,0.27
name_with_fallback,9,8,0.5,0.714,0.32
pretty_name_with_fallback,9,8,0.5,0.714,0.32
generate_pretty_name,11,8,0.375,0.714,0.33
parent,4,4,0.5,0.8,0.27
generate_slug,28,15,0.4,0.381,0.4
regenerate_pretty_name_and_permalink_as_child,25,300,0.24,0.275,3.6
cached_self_and_descendants_ids,15,12,0.167,0.182,0.46
styles,42,300,0.214,0.2,3.6
default_style,3,4,0.667,1.0,0.34
apply,47,300,0.234,0.245,3.59
set_root_taxon_name,22,9,0.111,0.353,0.41
description,6,4,0.5,0.8,0.27
duplicate,7,8,0.429,0.667,0.31
create_layout_sections,24,300,0.458,0.348,3.57
available_page_sections,29,300,0.172,0.414,3.67
human_name,19,300,0.684,0.333,3.65
descriptive_name,12,11,0.455,0.3,0.44
additional_images,19,300,0.211,0.359,3.64
price_modifier_amount_in,35,300,0.171,0.145,3.71
name_and_sku,8,9,0.125,0.143,0.41
sku_and_options_text,9,300,0.444,0.375,3.57
backorderable?,14,300,0.357,0.308,3.64
with_digital_assets?,4,6,0.5,0.4,0.37
create_stock_items,15,8,0.375,0.571,0.32
total,17,300,0.353,0.258,3.59
include?,30,15,0.333,0.286,0.47
country_ids,8,6,0.167,0.444,0.3
format_date,16,15,0.2,0.214,0.41
option_value,14,9,0.222,0.25,0.34
to_s,14,300,0.286,0.24,3.59
initialize,9,4,0.75,0.4,0.35
grouped_options,6,6,0.333,0.25,0.3
values_hash,25,300,0.36,0.4,3.57
to_param,10,9,0.444,0.625,0.41
call,10,8,0.25,0.571,0.32
call,47,20,0.35,0.595,0.47
in_stock?,7,5,0.2,0.25,0.32
in_stock_variant_ids,16,12,0.417,0.545,0.38
find_in_stock_variant_data,5,5,0.4,0.75,0.28
option_values_options,45,300,0.356,0.159,3.6
present_options,26,13,0.231,0.24,0.45
call,17,11,0.273,0.4,0.36
replace_country_iso_with_id,27,300,0.444,0.353,3.58
clear_addresses,23,300,0.435,0.273,3.64
call,52,300,0.308,0.198,3.65
