method,n_gt,n_pred,fid,e2e,t
service,29,300,0.414,0.4,3.66
services,4,4,0.75,0.8,0.35
build_regions,33,300,0.424,0.338,3.56
build_services,32,300,0.312,0.281,3.65
build,44,300,0.5,0.395,3.66
partition_region,6,9,0.333,0.6,0.41
cancel_policy_generation,14,8,0.25,0.286,0.33
create_access_preview,14,8,0.25,0.286,0.33
create_analyzer,14,8,0.25,0.286,0.33
list_access_preview_findings,14,8,0.25,0.286,0.34
list_access_previews,14,300,0.143,0.296,3.61
waiter_names,3,3,0.333,1.0,0.34
initialize,47,18,0.278,0.176,0.44
message,7,4,0.5,0.8,0.28
retry_after_seconds,5,4,0.75,0.8,0.27
retryable?,3,4,0.333,0.5,0.27
enable_region,14,8,0.25,0.429,0.32
put_alternate_contact,14,8,0.25,0.286,0.32
build_request,60,20,0.4,0.263,0.47
message,7,6,0.333,0.25,0.32
message,7,6,0.333,0.25,0.27
apply_endpoint_headers,31,300,0.387,0.262,3.58
add_handlers,14,300,0.357,0.148,3.67
get_certificate,14,9,0.222,0.588,0.42
can_create_topic,5,5,0.6,0.75,0.29
profile_hidden?,3,5,0.667,1.0,0.29
can_send_private_message_to_user,5,6,0.4,0.333,0.31
body,62,300,0.548,0.306,3.57
error,9,5,0.6,1.0,0.37
include_email?,9,9,0.222,0.533,0.33
unseen,4,4,0.25,0.4,0.28
unread,3,4,0.667,1.0,0.28
reason,4,4,0.5,0.8,0.28
external_id,6,8,0.333,0.8,0.33
include_acting_user_name?,5,5,0.4,0.75,0.29
created_by_id,4,4,0.5,0.8,0.27
description,20,300,0.25,0.316,3.59
applies_to,4,5,0.5,0.857,0.36
username,5,4,0.5,0.8,0.27
add_compared_field,44,300,0.636,0.322,3.54
current_hidden,5,4,0.5,0.8,0.35
include_edit_reason?,14,6,0.167,0.444,0.31
locale_changes,22,300,0.545,0.667,3.59
revisions,16,300,0.25,0.387,3.67
hidden_tags,7,8,0.429,0.667,0.4
moderator?,8,5,0.4,0.75,0.28
flair_bg_color,6,8,0.333,0.444,0.32
flair_color,6,8,0.333,0.444,0.33
flair_group_id,5,4,0.5,0.8,0.28
link_counts,58,300,0.224,0.274,3.63
user_title,5,4,0.5,0.8,0.36
reply_to_user,23,9,0.333,0.5,0.34
include_deleted_by?,8,10,0.375,1.0,0.35
include_bookmark_auto_delete_preference?,3,4,0.333,0.5,0.28
bookmark_id,4,4,0.5,0.8,0.27
static_doc,3,4,0.667,1.0,0.27
action_code_path,5,4,0.5,0.8,0.28
include_notice?,51,6,0.333,0.4,0.31
include_has_post_localizations?,6,8,0.5,0.444,0.34
include_post_localizations_count?,6,300,0.5,0.75,3.59
include_is_localized?,4,5,0.5,0.857,0.36
include_stream?,3,6,0.333,0.667,0.3
queue,3,4,0.667,1.0,0.27
user_id,4,4,0.5,0.8,0.28
state,6,9,0.333,0.6,0.33
include_description?,4,5,0.5,0.857,0.29
label,10,6,0.333,0.222,0.3
include_created_post_id?,5,5,0.4,0.75,0.29
reviewable_count,5,4,0.5,0.8,0.27
post_updated_at,5,8,0.4,0.75,0.34
watched_word_reason,44,300,0.477,0.25,3.6
watched_words_found,81,300,0.407,0.427,3.7
url_for,33,300,0.182,0.092,3.68
payload_attributes,16,9,0.333,0.375,0.41
attributes,48,300,0.438,0.484,3.57
topic_url,5,8,0.4,0.75,0.39
include_topic_id?,5,5,0.4,0.75,0.29
target_created_by_trust_level,5,6,0.4,0.333,0.3
include_claimed_by?,5,5,0.4,0.75,0.29
link_admin,8,9,0.5,0.857,0.34
links,15,10,0.5,0.667,0.35
can_be_silenced,5,5,0.4,0.75,0.29
include_required_tag_groups?,4,5,0.5,0.857,0.29
user_color_schemes,24,300,0.542,0.391,3.57
groups,48,300,0.333,0.274,3.66
include_user_tips?,4,5,0.5,0.857,0.37
filters,7,6,0.5,0.25,0.3
periods,7,8,0.429,0.667,0.32
anonymous_top_menu_items,7,8,0.429,0.667,0.32
tags_filter_regexp,5,7,0.6,0.75,0.31
wizard_required,3,4,0.667,1.0,0.27
topic_featured_link_allowed_category_ids,4,4,0.5,0.8,0.27
include_shared_drafts_category_id?,7,9,0.286,0.5,0.34
denied_emojis,6,4,0.5,0.8,0.28
include_lazy_load_categories?,4,5,0.5,0.857,0.29
valid_flag_applies_to_types,4,5,0.5,0.857,0.29
used_flag_ids,8,7,0.429,0.182,0.32
id,5,4,0.5,0.8,0.28
new_default,7,5,0.6,1.0,0.29
overridden?,15,300,0.4,0.2,3.6
include_related_messages?,5,5,0.4,1.0,0.35
include_suggested_topics?,5,9,0.4,1.0,0.33
related_messages,19,10,0.2,0.533,0.35
initialize,28,300,0.214,0.286,3.57
include_child_themes?,5,5,0.4,1.0,0.38
setting,4,4,0.5,0.8,0.28
type,4,4,0.5,0.8,0.28
topic_slug,5,4,0.5,0.8,0.28
include_user_id?,5,5,0.4,0.75,0.29
op_like_count,8,8,0.25,0.571,0.34
first_post_id,12,7,0.429,0.2,0.32
category_id,15,5,0.4,0.5,0.29
include_allowed_user_count?,4,5,0.5,1.0,0.29
include_shared_drafts?,5,5,0.4,0.75,0.29
include_categories?,4,5,0.5,1.0,0.29
primary_group_name,15,8,0.375,0.462,0.32
include_moderator?,6,300,0.333,0.727,3.62
trust_level,6,6,0.333,0.25,0.37
include_tags?,5,5,0.4,0.75,0.28
object=,5,4,0.5,0.4,0.27
can_attributes,25,300,0.08,0.082,3.64
include_participants?,5,5,0.4,1.0,0.36
created_by,5,9,0.4,0.75,0.33
include_can_delete?,6,6,0.333,0.25,0.3
allowed_users,19,11,0.182,0.7,0.36
allowed_groups,5,4,0.5,0.8,0.27
include_gaps?,3,5,0.667,1.0,0.28
include_timeline_lookup?,3,5,0.333,1.0,0.29
message_bus_last_id,4,4,0.5,0.8,0.27
include_is_warning?,3,5,0.667,1.0,0.28
include_external_id?,3,5,0.667,1.0,0.28
has_deleted,4,4,0.5,0.8,0.28
include_has_deleted?,5,8,0.4,0.571,0.33
expandable_first_post,3,6,0.333,0.667,0.3
topic_timer,37,6,0.333,0.4,0.31
include_featured_link?,4,5,0.5,0.857,0.28
is_shared_draft,3,5,0.667,1.0,0.29
include_queued_posts_count?,7,8,0.571,0.615,0.33
posts,4,4,0.5,0.8,0.28
include_acting_name?,3,5,0.333,1.0,0.29
include_slug?,5,5,0.4,1.0,0.29
archived,4,5,0.5,1.0,0.28
excerpt,4,4,0.75,0.8,0.27
user,3,4,0.667,1.0,0.28
bookmarkable,4,4,0.5,0.8,0.28
include_more_bookmarks_url?,6,300,0.167,0.444,3.58
include_categories?,4,5,0.5,0.857,0.35
include_email?,20,12,0.167,0.364,0.37
include_suspended_till?,4,5,0.5,0.857,0.29
time_read,5,4,0.5,0.8,0.28
flair_url,5,5,0.4,0.75,0.28
filename,5,8,0.4,0.75,0.32
options,6,8,0.333,0.6,0.32
new_value,16,7,0.429,1.0,0.31
topic_tracking,5,7,0.6,0.75,0.31
group_inboxes,61,300,0.23,0.25,3.62
topic_id,4,4,0.5,0.8,0.36
archetype,4,4,0.5,0.8,0.28
include_associated_accounts?,3,4,0.333,0.5,0.28
can_change_tracking_preferences,5,9,0.4,0.75,0.34
bio_cooked,5,8,0.4,0.571,0.33
allowed_pm_usernames,13,10,0.4,0.556,0.37
post_number,5,4,0.5,0.8,0.27
include_topic_count?,3,4,0.333,0.5,0.27
last_read_post_number,4,4,0.5,0.8,0.28
topic,4,4,0.5,0.8,0.28
custom_fields,40,300,0.15,0.304,3.59
actions,18,300,0.5,0.606,3.68
flag_type,4,4,0.5,0.8,0.34
include_category_slug?,8,5,0.2,0.75,0.29
category_slug,14,8,0.375,0.462,0.32
include_email?,4,5,0.5,1.0,0.28
label,20,11,0.364,0.3,0.36
each,3,4,0.333,0.5,0.27
lock,4,4,0.25,0.8,0.27
lock_app,23,12,0.333,0.091,0.37
unlocked?,3,3,0.667,1.0,0.25
initialize,5,5,0.6,0.5,0.29
multipart_fixture,40,300,0.325,0.304,3.63
setup,7,7,0.286,0.545,0.39
filesystem_has_posix_semantics?,4,4,0.5,0.8,0.28
setup,9,8,0.5,0.333,0.33
sendfile_app,15,300,0.267,0.286,3.56
each,5,4,0.5,0.4,0.35
call,11,300,0.273,0.3,3.55
initialize,25,300,0.44,0.314,3.64
subscribe_to_channel,12,12,0.25,0.455,0.45
delegate_connection_identifiers,15,12,0.25,0.381,0.37
transmit_subscription_confirmation,45,300,0.711,0.337,3.58
reject_subscription,8,8,0.375,0.429,0.4
broadcasting_for,7,4,0.25,0.4,0.28
before_unsubscribe,11,8,0.25,0.429,0.32
channel_name,5,4,0.5,0.8,0.28
active_periodic_timers,5,3,0.667,1.0,0.26
worker_pool_stream_handler,29,300,0.276,0.281,3.58
identity_handler,7,4,0.25,0.8,0.35
stop_all_streams,4,5,0.25,0.333,0.28
streams,5,3,0.667,1.0,0.27
initialize,39,300,0.513,0.368,3.57
connection_identifier,15,9,0.333,0.471,0.42
unsubscribe,6,8,0.167,0.222,0.33
assert_has_stream,13,8,0.5,0.308,0.33
check_subscribed!,10,8,0.375,0.857,0.33
process,13,11,0.364,0.5,0.36
send_async,10,6,0.333,0.0,0.3
on_error,9,8,0.25,0.462,0.32
handle_open,40,20,0.65,0.316,0.47
new_tagged_logger,26,300,0.5,0.192,3.6
started_request_message,19,6,0.333,0.444,0.38
start_driver,26,300,0.269,0.275,3.58
rack_response,8,7,0.143,0.364,0.59
write,12,10,0.1,0.111,0.35
close,45,300,0.222,0.176,3.61
begin_close,21,13,0.385,0.25,0.46
each,6,4,0.75,0.4,0.28
close,6,8,0.167,0.222,0.33
initialize,17,12,0.583,0.455,0.38
timer,16,300,0.5,0.483,3.59
writes_pending,18,300,0.333,0.229,3.7
remove,15,300,0.333,0.214,3.66
deprecator,8,300,0.125,0.533,3.65
initialize,5,3,0.667,0.5,0.33
valid_identifiers?,15,6,0.167,0.0,0.3
connection_identifiers,6,10,0.5,0.6,0.34
broadcast,15,300,0.467,0.357,3.59
initialize,14,5,0.8,0.25,0.37
stopping?,4,5,0.5,0.857,0.29
with_database_connections,11,6,0.333,0.2,0.31
subscribe,8,300,0.5,0.286,3.6
shutdown,4,4,0.75,0.8,0.35
subscribe,11,8,0.375,0.0,0.32
unsubscribe,8,6,0.167,0.222,0.3
subscriber_map,12,9,0.222,0.5,0.34
channel_identifier,14,6,0.333,0.2,0.31
listener,16,300,0.5,0.452,3.6
subscribe,11,10,0.3,0.333,0.43
initialize,5,3,0.667,0.5,0.26
subscribe,7,6,0.167,0.0,0.3
unsubscribe,7,4,0.25,0.4,0.28
broadcast,10,8,0.5,0.286,0.32
channels_data,5,3,0.667,1.0,0.27
new_broadcasts_from,33,300,0.303,0.188,3.57
kick,5,4,0.25,0.8,0.35
leave,5,4,0.25,0.8,0.27
get_latest,7,6,0.333,0.25,0.31
send_confirmation,3,4,0.667,1.0,0.29
test_set_channel_class_manual,7,300,0.429,0.667,3.59
test_set_channel_class_manual_using_string,7,7,0.429,0.5,0.39
subscribed,11,300,0.364,0.4,3.58
test_not_stream_with_params,18,10,0.3,0.353,0.43
echo,9,8,0.25,0.286,0.32
setup,13,11,0.273,0.5,0.36
broadcast_to_user,16,300,0.25,0.333,3.62
close,17,11,0.364,0.19,0.44
test_server_restart,49,300,0.469,0.429,3.6
connect,3,6,0.667,0.667,0.38
send_async,8,4,0.5,0.4,0.28
call,5,5,0.2,0.25,0.28
open_connection,25,300,0.48,0.375,3.61
set_current_context,14,8,0.25,0.429,0.4
on_error,6,6,0.167,0.0,0.3
send_async,8,4,0.5,0.4,0.27
initialize,7,3,0.667,0.5,0.26
test_connected,7,6,0.333,0.444,0.31
test_disconnect,17,300,0.235,0.303,3.63
test_connected_with_signed_cookies_and_headers,24,300,0.458,0.435,3.67
user,3,3,0.333,1.0,0.34
close,2,4,0.5,1.0,0.27
initialize,5,3,0.667,0.5,0.26
test_identical_subscriptions,26,300,0.269,0.275,3.59
test_simultaneous_subscriptions,29,300,0.517,0.414,3.64
teardown,8,8,0.25,0.571,0.4
cable_config,6,5,0.4,1.0,0.28
test_default_subscription_connection_identifier,21,300,0.238,0.341,3.6
cable_config,18,300,0.444,0.286,3.68
cable_config,8,7,0.286,0.545,0.37
connection_id,3,4,0.667,1.0,0.28
setup,39,20,0.5,0.632,0.47
cable_config,6,4,0.5,0.8,0.3
test_assert_broadcasts_with_no_block,32,21,0.143,0.3,0.47
authenticate_by_password,19,11,0.545,0.7,0.36
key,12,300,0.167,0.545,3.6
signed?,7,300,0.286,0.182,3.66
recent?,9,300,0.444,0.625,3.64
events,7,9,0.429,0.769,0.4
given_signature,6,6,0.333,0.444,0.3
expected_signature,13,300,0.385,0.5,3.58
require_valid_rfc822_message,9,300,0.222,0.5,3.68
index,10,300,0.2,0.526,3.64
ensure_development_env,8,6,0.5,0.667,0.38
source,6,9,0.333,0.727,0.34
incinerate_later,6,6,0.5,0.25,0.31
run,8,8,0.75,0.714,0.33
due?,9,300,0.444,0.625,3.57
processed?,4,4,0.75,0.8,0.36
generate_missing_message_id,27,300,0.481,0.346,3.56
after_processing,11,9,0.333,0.471,0.41
x_original_to_addresses,15,300,0.4,0.5,3.59
from_source,11,300,0.364,0.476,3.7
client,38,300,0.421,0.459,3.67
add_route,13,10,0.4,0.444,0.43
match?,40,300,0.25,0.306,3.59
receive_inbound_email_from_source,9,8,0.125,0.429,0.4
version,4,4,0.5,0.8,0.28
process,2,4,0.5,1.0,0.27
process,5,9,0.2,0.75,0.34
process,4,7,0.75,0.333,0.39
unregister_observer,7,7,0.286,0.182,0.31
unregister_interceptor,7,8,0.143,0.333,0.32
observer_class_for,13,13,0.231,0.308,0.39
header,3,4,0.667,1.0,0.27
[]=,5,7,0.4,0.5,0.31
_raise_error,7,4,0.75,0.8,0.29
apply_defaults,28,14,0.286,0.37,0.4
collect_responses_from_text,17,300,0.471,0.438,3.61
_protected_ivars,3,4,0.333,1.0,0.35
around_deliver,11,10,0.2,0.0,0.35
add_delivery_method,34,300,0.412,0.394,3.62
wrap_delivery_behavior,57,300,0.386,0.248,3.7
initialize,5,3,0.667,0.5,0.34
format_paragraph,59,300,0.508,0.41,3.59
initialize,19,9,0.556,0.0,0.41
enqueue_delivery,34,300,0.676,0.273,3.6
with,9,300,0.111,0.353,3.64
method_missing,19,11,0.364,0.286,0.43
processed_mailer,19,300,0.684,0.457,3.63
interceptor_class_for,13,11,0.273,0.286,0.43
initialize,6,3,0.667,0.5,0.26
preview_name,6,10,0.5,0.6,0.35
handle_exception,8,6,0.167,0.222,0.3
read_fixture,17,300,0.176,0.0,3.6
restore_delivery_method,11,14,0.273,0.4,0.47
authorized?,7,5,0.6,0.75,0.29
default,14,8,0.25,0.308,0.32
compute_amount,5,4,0.25,0.4,0.27
manual?,4,5,0.5,0.857,0.29
manual_sort_order?,5,4,0.25,0.4,0.27
slug,3,4,0.667,1.0,0.27
set_permalink,5,4,0.5,0.8,0.27
set_pretty_name,5,4,0.5,0.8,0.28
name_with_fallback,9,8,0.5,0.714,0.32
pretty_name_with_fallback,9,8,0.5,0.714,0.32
generate_pretty_name,11,8,0.375,0.714,0.33
parent,4,4,0.5,0.8,0.28
generate_slug,28,15,0.4,0.381,0.41
regenerate_pretty_name_and_permalink_as_child,25,300,0.24,0.275,3.61
cached_self_and_descendants_ids,15,14,0.286,0.308,0.48
styles,42,300,0.286,0.244,3.6
default_style,3,4,0.667,1.0,0.35
apply,47,300,0.34,0.18,3.59
set_root_taxon_name,22,9,0.111,0.353,0.41
description,6,4,0.5,0.8,0.27
duplicate,7,300,0.286,0.5,3.6
create_layout_sections,24,13,0.462,0.667,0.44
available_page_sections,29,300,0.172,0.414,3.6
human_name,19,300,0.684,0.333,3.7
descriptive_name,12,11,0.455,0.3,0.44
additional_images,19,300,0.211,0.359,3.68
price_modifier_amount_in,35,300,0.114,0.225,3.68
name_and_sku,8,8,0.375,0.429,0.39
sku_and_options_text,9,9,0.222,0.353,0.33
backorderable?,14,300,0.286,0.296,3.59
with_digital_assets?,4,6,0.5,0.4,0.37
create_stock_items,15,8,0.375,0.571,0.32
total,17,15,0.4,0.286,0.4
include?,30,15,0.333,0.286,0.4
country_ids,8,6,0.167,0.444,0.3
format_date,16,15,0.2,0.214,0.41
option_value,14,9,0.222,0.25,0.34
to_s,14,12,0.417,0.455,0.37
initialize,9,4,0.75,0.4,0.28
grouped_options,6,6,0.333,0.25,0.3
values_hash,25,300,0.24,0.245,3.58
to_param,10,11,0.5,0.444,0.43
call,10,8,0.25,0.571,0.32
call,47,20,0.35,0.595,0.47
in_stock?,7,5,0.2,0.25,0.33
in_stock_variant_ids,16,12,0.417,0.545,0.38
find_in_stock_variant_data,5,5,0.4,0.75,0.29
option_values_options,45,300,0.356,0.159,3.63
present_options,26,300,0.192,0.16,3.7
call,17,11,0.273,0.4,0.44
replace_country_iso_with_id,27,300,0.444,0.353,3.58
clear_addresses,23,300,0.435,0.273,3.65
call,52,300,0.308,0.198,3.65
